,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,81,82,83,84,85,86,87,88,89,90,93,92,91,94,95,96
Glucose-1-phosphate,0.367,0.43,0.408,0.358,0.552,0.591,0.651,0.64,0.385,0.73,0.625,0.587,0.736,0.586,0.59,0.649,0.051,0.191,0.193,0.286,0.496,0.443,0.492,0.496,0.105,0.025,0.011,0.225,0.038,0.228,0.256,0.38,-0.22,-0.076,-0.076,0.005,0.448,0.113,0.082,0.569,0.14,1.137,0.077,0.204,0.356,-0.058,0.267,0.404
"D,L-alpha-glycerol phosphate",0.837,0.794,0.834,0.93,0.624,0.795,0.904,0.755,0.842,0.979,0.815,0.756,1.022,0.807,0.758,0.841,0.451,0.627,0.412,0.648,0.623,0.497,0.641,0.526,0.472,0.373,0.388,0.34,0.68,0.606,0.544,0.396,0.306,0.319,0.09,0.137,0.739,0.386,0.256,0.479,0.283,0.606,0.421,0.105,0.382,0.439,0.361,0.577
D-Galactonic acid gamma-Lactone,1.874,2.258,2.221,2.16,1.88,2.051,2.229,2.015,1.576,1.781,1.704,1.835,2.018,2.001,1.654,1.449,1.47,0.976,1.186,1.874,1.739,1.39,1.653,1.802,1.548,1.787,1.796,1.068,2.154,1.778,1.488,2.085,0.866,1.743,1.653,0.242,1.871,1.609,0.57,1.193,1.293,1.313,1.354,0.7,1.209,1.279,1.494,1.853
D-Galacturonic acid,2.21,1.62,1.807,2.141,1.46,1.227,1.394,1.686,1.734,2.162,2.172,1.835,2.192,2.165,1.417,1.641,1.016,1.01,1.004,1.271,1.625,1.56,1.564,1.359,1.061,1.337,1.105,1.109,1.663,1.294,1.271,1.798,0.094,1.469,0.653,0.077,0.489,0.831,0.551,0.643,1.177,0.847,1.305,1.534,1.02,1.61,1.222,1.342
2-Hydroxy benzoic acid,-0.088,-0.064,-0.074,-0.076,-0.181,-0.08,-0.175,-0.128,-0.069,-0.065,-0.082,-0.173,-0.083,-0.107,-0.141,-0.174,-0.046,-0.028,-0.022,-0.061,-0.098,-0.064,-0.049,-0.181,-0.03,-0.044,-0.031,-0.036,-0.07,-0.033,-0.074,-0.098,-0.928,-0.746,-0.294,-0.628,-0.547,-0.66,-0.53,-0.523,-0.313,-0.551,-0.673,-0.209,-0.151,-0.857,-0.831,-0.653
4-Hydroxy benzoic acid,1.462,1.352,1.268,1.361,0.759,1.012,0.914,1.031,1.494,1.134,1.129,1.022,1.225,0.841,0.957,0.996,0.421,0.432,0.446,0.366,0.44,0.505,0.491,0.258,1.092,1.121,0.897,1.176,0.899,0.724,0.682,0.908,0.318,0.191,0.442,0.06,0.8,0.301,0.306,0.456,0.822,1.11,0.378,0.491,0.635,0.422,0.325,0.594
gamma-Hydroxybutyric acid,0.82,0.88,0.814,0.827,0.796,0.768,0.613,0.773,0.802,0.839,0.896,0.8,0.785,0.802,0.923,0.584,0.536,0.476,0.571,0.55,0.536,0.603,0.507,0.432,0.767,0.814,0.763,0.758,0.906,0.706,0.64,0.835,0.452,0.601,0.644,0.363,0.733,0.457,0.73,0.414,0.375,1.026,0.378,0.34,0.565,0.414,0.35,0.702
Itaconic acid,0.908,1.072,0.99,0.921,0.726,0.808,0.518,0.775,0.906,0.772,0.822,0.706,0.66,0.881,0.646,0.713,0.651,0.586,0.506,0.654,0.555,0.603,0.565,0.44,0.829,0.89,0.765,0.826,0.602,0.671,0.645,0.724,0.502,0.682,0.569,0.448,0.87,0.296,0.924,0.658,0.598,0.778,0.171,0.26,0.489,0.476,0.35,0.647
alpha-Ketobutyric acid,0.598,0.511,0.512,0.537,0.512,0.62,0.459,0.333,0.437,0.456,0.494,0.372,0.412,0.402,0.437,0.384,0.398,0.111,0.104,0.431,0.422,0.307,0.408,0.432,0.144,0.273,0.225,0.143,0.285,0.345,0.325,0.504,-0.843,-0.523,-0.226,-0.568,-0.364,-0.414,-0.504,0.01,-0.233,-0.207,-0.399,-0.152,-0.057,-0.523,-0.347,-0.215
D-Malic acid,1.714,1.672,1.917,1.793,1.125,2.045,1.939,1.72,1.816,1.247,1.195,1.55,2.197,2.048,2.118,1.758,0.52,0.697,0.352,0.766,0.888,0.628,0.597,0.651,0.382,0.503,0.602,0.637,1.034,0.933,0.569,0.816,0.586,1.103,1.037,0.282,1.927,1.207,0.827,1.994,1.684,2.041,1.411,0.814,1.657,1.538,1.475,1.86
L-Arginine,0.678,0.645,0.656,0.671,0.436,0.449,0.256,0.507,0.682,0.673,0.628,0.593,0.493,0.443,0.463,0.261,0.351,0.341,0.351,0.327,0.373,0.344,0.237,0.132,0.793,0.676,0.582,0.71,0.713,0.614,0.631,0.524,0.193,0.23,0.076,0.048,0.549,0.174,0.307,0.058,0.147,0.071,0.171,0.047,0.207,0.053,0.308,0.468
L-Asparagine,1.355,1.795,1.523,1.364,1.263,1.369,1.186,1.61,1.411,1.42,1.4,1.229,1.558,1.247,0.992,1.372,0.835,0.808,0.929,0.95,0.97,1.031,0.867,0.705,1.233,1.318,1.574,1.894,2.049,1.214,1.486,1.562,0.783,0.959,0.918,0.605,1.387,0.678,0.703,0.232,0.466,0.96,0.979,0.333,0.632,1.146,0.854,1.05
L-Phenylalanine,0.454,0.516,0.617,0.485,0.009,0.371,0.094,0.105,0.555,0.454,0.398,0.434,0.247,0.202,0.218,0.019,0.484,0.37,0.602,0.49,0.606,0.549,0.521,0.535,0.446,0.319,0.35,0.466,0.677,0.382,0.389,0.605,-0.044,0.177,0.174,-0.337,0.465,0.155,0.173,0.26,0.055,0.264,-0.049,-0.1,0.245,0.017,-0.212,0.017
L-Serine,0.985,0.948,1.108,1.167,1.101,0.818,0.945,1.053,1.111,1.344,1.344,1.262,1.05,1.038,0.802,0.887,0.531,0.582,0.632,0.57,0.536,0.514,0.301,0.316,1.095,1.105,0.907,1.055,0.837,0.814,0.726,1.077,0.458,0.569,0.347,0.543,0.813,0.718,0.568,0.445,0.187,0.032,0.396,0.092,0.47,0.326,0.457,0.629
L-Threonine,0.273,0.281,0.225,0.238,0.212,0.208,0.294,0.238,0.165,0.261,0.25,0.211,0.15,0.227,0.159,0.121,0.288,0.183,0.043,0.315,0.231,0.244,0.277,0.205,0.321,0.374,0.125,0.218,0.315,0.083,0.176,0.314,-0.508,0.14,0.179,-0.285,0.353,0.049,-0.019,-0.1,-0.14,0.046,-0.042,-0.068,0.16,-0.627,-0.345,-0.007
Glycyl-L-glutamic acid,0.398,0.399,0.357,0.421,0.351,0.477,0.343,0.278,0.428,0.458,0.467,0.411,0.395,0.397,0.427,0.353,0.369,0.197,0.181,0.349,0.398,0.299,0.389,0.288,0.22,0.271,0.325,0.233,0.394,0.463,0.254,0.303,-0.049,0.119,0.343,-0.118,0.442,0.103,0.088,0.92,0.097,0.458,0.012,0.037,0.243,-0.087,-0.088,0.495
Phenylethylamine,0.44,0.395,0.392,0.444,0.221,0.276,0.216,0.307,0.395,0.463,0.378,0.248,0.376,0.297,0.248,0.249,0.378,0.539,0.45,0.302,0.379,0.328,0.35,0.222,0.472,0.406,0.355,-0.033,0.436,0.363,0.323,0.381,-0.341,0.067,0.127,-0.392,0.341,-0.009,0.104,0.361,0.336,0.279,0.083,0.126,0.324,0.021,-0.152,-0.029
Putrescine,0.669,0.711,0.606,0.69,0.579,0.44,0.403,0.803,0.668,0.708,0.68,0.493,0.621,0.581,0.277,0.38,0.444,0.362,0.514,0.426,0.465,0.403,0.411,0.344,0.818,0.786,0.668,-0.05,0.813,0.608,0.494,0.637,0.035,0.256,0.294,0.027,0.35,0.176,0.41,0.547,0.423,0.688,0.19,0.246,0.27,0.141,0.14,0.219
