#OTU ID	exp2_1_DAY1_tube	exp2_1_DAY15_tube	exp2_1_DAY57_tube	exp2_10_DAY1_tube	exp2_10_DAY15_tube	exp2_10_DAY57_tube	exp2_11_DAY1_tube	exp2_11_DAY15_tube	exp2_11_DAY57_tube	exp2_12_DAY1_tube	exp2_12_DAY15_tube	exp2_12_DAY57_tube	exp2_13_DAY1_tube	exp2_13_DAY15_tube	exp2_13_DAY57_tube	exp2_14_DAY1_tube	exp2_14_DAY15_tube	exp2_14_DAY57_tube	exp2_15_DAY1_tube	exp2_15_DAY15_tube	exp2_15_DAY57_tube	exp2_16_DAY1_tube	exp2_16_DAY15_tube	exp2_16_DAY57_tube	exp2_17_DAY1_tube	exp2_17_DAY15_tube	exp2_17_DAY57_tube	exp2_18_DAY1_tube	exp2_18_DAY15_tube	exp2_18_DAY57_tube	exp2_19_DAY1_tube	exp2_19_DAY15_tube	exp2_19_DAY57_tube	exp2_2_DAY1_tube	exp2_2_DAY15_tube	exp2_2_DAY57_tube	exp2_20_DAY1_tube	exp2_20_DAY15_tube	exp2_20_DAY57_tube	exp2_21_DAY1_tube	exp2_21_DAY15_tube	exp2_21_DAY57_tube	exp2_22_DAY1_tube	exp2_22_DAY15_tube	exp2_22_DAY57_tube	exp2_23_DAY1_tube	exp2_23_DAY15_tube	exp2_23_DAY57_tube	exp2_24_DAY1_tube	exp2_24_DAY15_tube	exp2_24_DAY57_tube	exp2_25_DAY1_tube	exp2_25_DAY15_tube	exp2_25_DAY57_tube	exp2_26_DAY1_tube	exp2_26_DAY15_tube	exp2_26_DAY57_tube	exp2_27_DAY1_tube	exp2_27_DAY15_tube	exp2_27_DAY57_tube	exp2_28_DAY1_tube	exp2_28_DAY15_tube	exp2_28_DAY57_tube	exp2_29_DAY1_tube	exp2_29_DAY15_tube	exp2_29_DAY57_tube	exp2_3_DAY1_tube	exp2_3_DAY15_tube	exp2_3_DAY57_tube	exp2_30_DAY1_tube	exp2_30_DAY15_tube	exp2_30_DAY57_tube	exp2_31_DAY1_tube	exp2_31_DAY15_tube	exp2_31_DAY57_tube	exp2_32_DAY1_tube	exp2_32_DAY15_tube	exp2_32_DAY57_tube	exp2_4_DAY1_tube	exp2_4_DAY15_tube	exp2_4_DAY57_tube	exp2_5_DAY1_tube	exp2_5_DAY15_tube	exp2_5_DAY57_tube	exp2_6_DAY1_tube	exp2_6_DAY15_tube	exp2_6_DAY57_tube	exp2_7_DAY1_tube	exp2_7_DAY15_tube	exp2_7_DAY57_tube	exp2_8_DAY1_tube	exp2_8_DAY15_tube	exp2_8_DAY57_tube	exp2_81_DAY1_tube	exp2_81_DAY15_tube	exp2_81_DAY57_tube	exp2_82_DAY1_tube	exp2_82_DAY15_tube	exp2_82_DAY57_tube	exp2_83_DAY1_tube	exp2_83_DAY15_tube	exp2_83_DAY57_tube	exp2_84_DAY1_tube	exp2_84_DAY15_tube	exp2_84_DAY57_tube	exp2_85_DAY1_tube	exp2_85_DAY15_tube	exp2_85_DAY57_tube	exp2_86_DAY1_tube	exp2_86_DAY15_tube	exp2_86_DAY57_tube	exp2_87_DAY1_tube	exp2_87_DAY15_tube	exp2_87_DAY57_tube	exp2_88_DAY1_tube	exp2_88_DAY15_tube	exp2_88_DAY57_tube	exp2_89_DAY1_tube	exp2_89_DAY15_tube	exp2_89_DAY57_tube	exp2_9_DAY1_tube	exp2_9_DAY15_tube	exp2_9_DAY57_tube	exp2_90_DAY1_tube	exp2_90_DAY15_tube	exp2_90_DAY57_tube	exp2_91_DAY1_tube	exp2_91_DAY15_tube	exp2_91_DAY57_tube	exp2_92_DAY1_tube	exp2_92_DAY15_tube	exp2_92_DAY57_tube	exp2_93_DAY1_tube	exp2_93_DAY15_tube	exp2_93_DAY57_tube	exp2_94_DAY1_tube	exp2_94_DAY15_tube	exp2_94_DAY57_tube	exp2_95_DAY1_tube	exp2_95_DAY15_tube	exp2_95_DAY57_tube	exp2_96_DAY1_tube	exp2_96_DAY15_tube	exp2_96_DAY57_tube	exp2_MIX_GROUP1	exp2_MIX_GROUP2	exp2_MIX_GROUP3	exp2_MIX_GROUP4	neg_control1	neg_control2	neg_control3	neg_control4
16da9716b4d7c3c9c904f3f799d67dfe	67	7443	569	31	953	25847	35	2865	297	37	454	660	22	687	8168	14	3197	11080	20	820	14153	22	1433	22750	690	1003	373	703	380	175	602	785	266	61	6396	633	631	202	184	186	231	22	123	378	19	93	232	27	121	76	0	173	152	25	286	573	57	197	213	65	194	193	88	316	632	58	53	20387	1009	128	246	28	571	250	65	345	213	44	123	5368	1301	38	1988	9099	33	10184	12332	74	11555	28933	30	3834	15364	16	171	444	20	0	0	30	0	0	12	0	0	35	1695	25855	0	4147	3787	0	0	0	37	0	0	97	0	0	36	1095	349	111	0	0	49	0	0	60	32	0	84	0	335	54	27	14024	94	6723	2241	63	10451	5041	29	17	24	84	0	0	0	0
6c4e4105adadb51f8c5c8efc404d496c	1326	3230	0	1643	3083	2500	1797	5767	8	1276	5086	310	1185	2026	243	988	9294	180	804	2360	183	1023	3298	1803	1021	4232	1137	939	4512	1460	1005	3492	1052	1948	3775	158	1004	2451	2589	693	3781	2818	989	4099	2761	675	2506	3433	924	2371	3198	1515	4428	756	1399	6006	650	1536	2693	1200	1348	2813	904	1249	1550	1482	1505	9215	48	1171	2242	2156	1274	975	1829	992	810	1289	1837	3356	227	1103	4195	2240	676	2978	622	1909	3703	114	1596	974	1312	656	632	63	908	35	73	1387	2978	839	1245	703	1148	1617	479	819	1138	2079	2961	497	1030	2501	1551	217	1365	6080	59	1153	1157	4191	7	7251	300	166	3781	192	437	4199	1086	757	4569	29	2845	2820	257	1145	4481	1599	282	2196	606	965	99	1107	2275	4342	0	0	0	0
4e986686c6630c0cdf5247111f026584	2973	1198	63	883	586	511	1494	1395	1758	1838	1481	12	804	1280	93	470	7965	151	578	1758	236	716	2265	315	4163	565	45	3225	810	93	4539	581	43	3899	1187	135	3854	439	50	2716	467	47	2957	640	63	3052	357	27	3329	479	22	5649	748	34	5607	1031	40	6228	538	51	5284	532	101	7052	368	38	3244	2769	458	4912	500	96	6253	247	30	5120	225	26	4413	874	20	1560	2089	135	725	2471	59	2716	3557	113	2153	1128	118	381	2983	413	596	384	624	788	174	17	856	172	37	954	1920	341	704	2329	120	507	699	131	1016	652	49	1406	1696	88	2801	911	7	1742	1973	37	892	38	259	975	259	97	1079	303	35	534	574	31	1075	1503	26	573	450	728	1193	929	1785	2244	0	0	0	0
0f18144d308ada95632ab5193d92073f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4605b879a4aa457b76cf5eb5fbab39c9	34	206	108	46	414	1798	70	798	778	41	632	400	45	1167	1514	34	2679	1287	50	523	3459	60	836	5377	5	2997	3481	6	2953	3255	0	2594	2692	63	151	54	0	1713	4878	17	4381	2953	8	4312	3034	10	1527	2833	0	4158	2839	8	4341	1922	6	5846	1745	0	2068	2370	0	2504	4222	0	2913	3698	0	906	1041	9	3545	3284	0	2551	3918	10	2184	3534	82	435	199	100	1809	3873	54	558	1636	152	172	2864	124	271	2410	246	0	1417	396	0	235	568	1060	2646	265	743	3335	613	0	2505	414	6	4778	196	332	3672	694	206	2533	659	0	4512	51	889	50	753	0	1010	463	36	1613	505	180	1366	574	4	1917	352	0	853	448	23	129	243	0	560	310	441	198	718	0	0	0	0
d15bd1dcb9de71d7452648673a59f5b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d72007c70f4abc0bf9e8fe8b826d07d	2315	625	0	2134	468	228	2440	800	0	2276	604	29	1346	442	428	1445	2091	801	1226	576	849	1693	508	1778	1487	706	1382	1213	1119	1103	1612	1068	1165	3224	657	39	1399	702	1732	1648	1606	244	1781	2338	88	1602	1353	97	2137	1443	110	1677	756	17	1631	957	0	1620	594	43	1500	850	32	1609	1398	43	3045	1457	0	1357	992	65	1463	686	36	1221	671	22	3945	503	20	3494	1789	1272	1479	1669	839	5187	1913	1843	3816	563	1395	365	51	0	477	54	64	499	0	63	476	174	64	1105	257	1022	813	496	2668	300	0	241	821	46	97	1710	267	371	2335	462	0	1659	0	45	845	33	1199	1135	118	294	1570	206	1156	707	1069	698	1574	391	0	828	224	58	1134	563	678	2043	522	469	283	0
86b092aefa12a97f8ff02f3d84807586	42	695	64	36	881	564	63	1179	319	31	666	305	48	791	501	31	1433	976	20	381	1494	14	396	1868	7	5202	1412	5	4478	1150	6	5243	870	40	738	62	15	3224	1589	0	6303	1368	10	6079	1092	0	7761	1437	7	9699	1103	15	5416	922	11	9678	757	16	5427	824	7	4750	901	11	5115	1525	53	1729	25	7	3804	1281	7	3406	1592	7	3402	1165	72	1276	0	51	1168	1040	12	683	557	44	981	1277	45	631	993	46	423	975	78	182	44	88	463	751	79	76	1197	89	462	684	94	350	1433	43	172	1604	143	165	1151	869	13	2178	41	762	0	1165	93	410	573	21	2171	632	143	2709	717	0	2123	402	736	88	654	948	52	402	281	253	118	96	276	993	0	0	0	0
90d281aaf588bad4be3327bfc03d6249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e4b96294f2a2985a5d7fd8c87f7ce6d	19	350	72	28	423	880	28	968	125	35	844	55	0	386	317	20	472	208	12	79	411	24	60	620	0	0	0	0	0	0	8	0	0	33	465	41	0	0	0	0	0	10	0	20	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1061	0	0	0	0	0	0	0	0	0	0	44	467	6	38	309	514	10	313	247	31	378	295	22	144	320	303	396	0	478	236	97	660	0	0	684	0	0	868	95	326	607	16	160	221	6	0	721	11	0	648	0	0	31	1060	6	602	11	0	392	13	0	422	63	0	542	22	331	275	0	64	391	549	120	164	304	294	160	435	101	266	289	184	112	47
