"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","richness","shannon.16s","ef.16s"
"exp2_2_DAY1_tube",1.566,"2","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.014018388,337.0301126,NA,NA,NA,NA,40,2.66679510320019,14
"exp2_2_DAY15_tube",8.456,"2","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.147510865,1010.913149,12072.83857,NA,NA,NA,47,2.91924033095083,19
"exp2_2_DAY57_tube",1.207,"2","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.067533981,414.6261681,2002.69184,7.85,"LT",20,42,0.900609247508179,2
"exp2_20_DAY1_tube",3.4385,"20","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.040438242,274.6192026,NA,NA,NA,NA,33,2.37603067055504,11
"exp2_20_DAY15_tube",1.5035,"20","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.189451053,309.8836489,15784.10817,NA,NA,NA,46,2.86527375229813,18
"exp2_20_DAY57_tube",4.851,"20","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.135833287,407.7156544,14032.88437,7.76,"LT",20,48,2.48230004210743,12
"exp2_21_DAY1_tube",5.7135,"21","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.014261276,316.192311,NA,NA,NA,NA,29,2.27884218750486,10
"exp2_21_DAY15_tube",6.841,"21","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.203934282,136.1051702,8150.830186,NA,NA,NA,37,2.34296573169666,10
"exp2_21_DAY57_tube",5.891,"21","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.120194452,362.789337,17161.28776,7.86,"LT",20,43,2.42328808379869,11
"exp2_22_DAY1_tube",7.836,"22","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.014105411,303.6499606,NA,NA,NA,NA,36,2.49086075770404,12
"exp2_22_DAY15_tube",2.996,"22","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.219720164,159.9369111,8487.498572,NA,NA,NA,37,2.54272879915948,13
"exp2_22_DAY57_tube",3.961,"22","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.11387656,345.3342065,17456.8999,7.92,"LT",20,42,2.4036504639546,11
"exp2_23_DAY1_tube",8.511,"23","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.018218421,294.0847102,NA,NA,NA,NA,32,2.24474429408403,9
"exp2_23_DAY15_tube",4.521,"23","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.219959048,181.1567395,6487.882738,NA,NA,NA,45,2.71064063213443,15
"exp2_23_DAY57_tube",5.152,"23","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.122156449,345.7470821,17011.51827,7.96,"LT",20,48,2.32962641672666,10
"exp2_24_DAY1_tube",1.006,"24","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.023404312,350.289928,NA,NA,NA,NA,33,2.31617931416621,10
"exp2_24_DAY15_tube",3.646,"24","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.194296022,162.3374264,3115.39607,NA,NA,NA,38,2.27333480749537,10
"exp2_24_DAY57_tube",3.712,"24","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.127394175,289.2176971,11181.30937,7.98,"LT",20,43,2.18219491800719,9
"exp2_25_DAY1_tube",2.9335,"25","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.050405758,361.9401923,NA,NA,NA,NA,42,2.55689940751099,13
"exp2_25_DAY15_tube",3.566,"25","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.215464119,240.8021536,5627.401045,NA,NA,NA,39,2.68322900295286,15
"exp2_25_DAY57_tube",1.347,"25","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.213946602,273.2857518,3322.964659,7.77,"LT",20,41,2.34074515447175,10
"exp2_26_DAY1_tube",1.3735,"26","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.047337019,198.9162103,NA,NA,NA,NA,37,2.393676989886,11
"exp2_26_DAY15_tube",2.4885,"26","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.213660296,208.26679,5699.567671,NA,NA,NA,40,2.66520780543638,14
"exp2_26_DAY57_tube",1.207,"26","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.189573786,349.9257023,6482.039167,7.74,"LT",20,42,2.46173382795573,12
"exp2_27_DAY1_tube",1.3935,"27","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.049436588,202.8878914,NA,NA,NA,NA,40,2.5167014665679,12
"exp2_27_DAY15_tube",2.5385,"27","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.185146256,240.4644134,4564.379495,NA,NA,NA,40,2.73180489522306,15
"exp2_27_DAY57_tube",4.801,"27","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.176946602,238.7398319,6203.261488,7.72,"LT",20,45,2.30883519454426,10
"exp2_28_DAY1_tube",1.001,"28","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.048016063,181.8004954,NA,NA,NA,NA,34,2.49936155503741,12
"exp2_28_DAY15_tube",2.3885,"28","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.186657566,224.652557,4642.532686,NA,NA,NA,39,2.69030679168339,15
"exp2_28_DAY57_tube",3.7535,"28","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.238524272,296.5251299,4132.556335,7.76,"LT",20,45,2.38546854552002,11
"exp2_29_DAY1_tube",4.6685,"29","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.021087634,212.4142316,NA,NA,NA,NA,39,2.38417151548479,11
"exp2_29_DAY15_tube",4.5285,"29","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.219315523,221.8036483,7024.578708,NA,NA,NA,39,2.81258541360885,17
"exp2_29_DAY57_tube",3.9635,"29","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.143070874,227.0323818,7794.594019,7.91,"LT",20,39,2.17667180354013,9
"exp2_3_DAY1_tube",1.6885,"3","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.012690399,303.6613489,NA,NA,NA,NA,36,2.61215003572878,14
