"ASV","Reason","Taxon","Confidence"
"efbe1f58b1e2984ddc53a64f047d94ff","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium",0.860802927315135
"f4801b7a68515d9005fa572ee6afdf41","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia",0.985006691631281
"f8aeec3c1ff0f4e7e1c829e4db0618d9","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas",0.999712120488383
"fccbdff8fac6bb4a77fa3e3d96e7ec2a","Decontam_pkg","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium",0.999994787568519
"fe8d1e67790b18f7c5b3fa1d13d4061c","Decontam_pkg","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium",0.999985951418437
"ffbd119a0c12de29a3c989155a3783dd","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chitinibacteraceae; g__Deefgea; s__uncultured_bacterium",0.728894337752002
"019245104ed4e1a751a760748c8a5205","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999982
"0745881dfd030f13bfcd0eac97546886","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",1
"11b92c472ea08a2ac3f0de9aad1d03ab","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.99999998311094
"15210dac7358c225c1d261007a9a9d16","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Chloropicon_primus",0.999998421161034
"1b83b1af907585096e36bd46752777f2","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_marine",0.999760709537497
"248786aa68edceb0f7a2047d0a771f64","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999977118
"2b4e42660e77a5154333e80652c0988e","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999999
"30f6e633bc389ef16701e70ef28a02cb","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_marine",0.999511498491587
"3e9dbcc280c75eb714fb91366c213bfb","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999994
"42016433985454f3186dde297fc37eb6","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Trachydiscus_minutus",0.9991197841423
"4a0b292ba716582f9af46694458c0b9b","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999999
"680032ee2be3f9fcd320ab56108c7867","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.966317699474509
"6e8e3621cdda8cf96216ef12ff463413","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999998365687
"999ca4020d82bc0863be4d03cd9470b1","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",1
"9ca10d0df0c8ecc7364ad81775a6075a","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999998563018
"a119904cba206dff93819dfe80d8e16c","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999996
"a18b8689b745c96b9aa9f0bd947e98c7","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__unidentified_rhodophyte",0.990066341243037
"b4f9bee3ba135187027c5b2d05fa7cdc","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.998047477644843
"c28ab480eb7e125aeee85de2c3f92ba2","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Mychonastes_jurisii",0.999999999999986
"e1b2b6ae4af6686429c21926cc0314a0","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999995
"e6dd8c401e4392a0cfb65bbce7dc41f4","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",1
"ec9562edcf3986f9a56ee377d8ff737c","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",1.00000000000001
"f698bc60e827ed25fbba1b6bc4745a33","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Nannochloropsis_gaditana",0.978482451113835
"fa26bf85a3bd5845ba80307bb7aa5afa","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999995
"fba3e00a0b8c31631f62370ee1a79703","Chloroplast","d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast",0.999999999999993
"1cdff3b3718ef7209ffc1353307851d9","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Periglandula_ipomoeae",0.70429108403547
"314f4b545da59ca32345f4289138aa8c","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria",0.999999996662911
"4cbffaa65a42b93e577aca5952dac733","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Penicillium_sp.",0.999858325971074
"600cecd48e3c455a1c65930960b279dc","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Botryosphaeria_dothidea",0.976575725777752
"773a8f897713f46436d512475c69c597","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Fusarium_circinatum",0.729440036639675
"aa73d2c485650f5c8e5ba227daccb6f1","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Botryosphaeria_dothidea",0.999689050907691
"d297fafcb11e3ea8254ea3edb7035dec","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria",0.999999992417685
"f52cc1224cac807cd42d9a901ed53c9b","Mitochondria","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Arachis_hypogaea",0.818272670481539
"06373c82c15a99b93def846cdc39bf8a","Eukaryota","d__Eukaryota",0.736451167767602
"3563366b32bc40819cc960a6332cbdda","Eukaryota","d__Eukaryota",0.701387340940289
"40bd1f3908fa2983004fb6dbfcc5cdce","Eukaryota","d__Eukaryota; p__Opalinata; c__Opalinata; o__Opalinata; f__Opalinata; g__Opalinata; s__Opalina_undulata",0.918949635274688
"64de6bf9cfbf37a91ab0ca324b44829c","Eukaryota","d__Eukaryota; p__Microsporidia; c__Microsporidia; o__Microsporidia; f__Microsporidia; g__Microsporidia; s__Senoma_globulifera",0.923497160173012
"801f1a61adf68c3a1932f432ae4b0d52","Eukaryota","d__Eukaryota",0.948607696059034
"ef5bed1ca19db9fab63b4b83f645913c","Eukaryota","d__Eukaryota; p__Microsporidia; c__Microsporidia; o__Microsporidia; f__Microsporidia; g__Microsporidia; s__Microsporidium_sp.",0.94695106464802
"ffa8627e4ade79b982cf5555b9ce1a01","Eukaryota","d__Eukaryota",0.757256254479464
"17f04900bc23e4d8bc28bb77659cd448","Archaea","d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae",0.999999999999363
