"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_17_DAY57_tube",2.5385,"17","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.152708738,448.7120076,7274.347796,7.72,"LT",20,0.762629573111589,-0.0421586124899947,50,2.66836309449728,14.416351662878
"exp2_18_DAY1_tube",2.9135,"18","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.033367507,208.6247639,NA,NA,NA,NA,-0.8936959726639,-0.489185657852362,39,2.52417957185028,12.4806515841934
"exp2_18_DAY15_tube",2.5135,"18","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.213231279,271.5579815,7765.84273,NA,NA,NA,1.60261613863934,-0.372008044059485,42,2.83912580924253,17.1008096312161
"exp2_18_DAY57_tube",3.076,"18","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.210854369,197.1836698,12671.54729,7.72,"LT",20,1.56962723178779,-0.510488241081759,44,2.52524418544582,12.4939457308602
"exp2_19_DAY1_tube",4.116,"19","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.034574945,221.4622619,NA,NA,NA,NA,-0.876938055994346,-0.465283060145188,34,2.47431295245791,11.8735466190762
"exp2_19_DAY15_tube",4.271,"19","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.197065133,249.0755498,10023.31746,NA,NA,NA,1.3782477424684,-0.413868889561008,39,2.71349751882533,15.0819327200249
"exp2_19_DAY57_tube",4.506,"19","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.185896117,264.0575499,11576.49482,7.73,"LT",20,1.22323403625001,-0.385973366520682,44,2.51101733803414,12.3174547036861
"exp2_2_DAY1_tube",1.566,"2","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.014018388,337.0301126,NA,NA,NA,NA,-1.16224054706962,-0.250103136209478,39,2.65234240000533,14.1872319263678
"exp2_2_DAY15_tube",8.456,"2","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.147510865,1010.913149,12072.83857,NA,NA,NA,0.690488790236668,1.00462384569603,44,2.91232125605635,18.3994588904786
"exp2_2_DAY57_tube",1.207,"2","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.067533981,414.6261681,2002.69184,7.85,"LT",20,-0.419502743541988,-0.105624258917343,45,0.912423128708828,2.49034966594737
"exp2_20_DAY1_tube",3.4385,"20","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.040438242,274.6192026,NA,NA,NA,NA,-0.795561916983606,-0.366308246758951,32,2.38627378340776,10.8729035720544
"exp2_20_DAY15_tube",1.5035,"20","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.189451053,309.8836489,15784.10817,NA,NA,NA,1.2725726534325,-0.300648110081606,44,2.8619279044299,17.4952235632147
"exp2_20_DAY57_tube",4.851,"20","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.135833287,407.7156544,14032.88437,7.76,"LT",20,0.528416800597263,-0.118491192093965,51,2.48819162498535,12.0394845196955
"exp2_21_DAY1_tube",5.7135,"21","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.014261276,316.192311,NA,NA,NA,NA,-1.15886952771787,-0.288901785973373,29,2.28134595052188,9.78984819723586
"exp2_21_DAY15_tube",6.841,"21","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.203934282,136.1051702,8150.830186,NA,NA,NA,1.47358400530985,-0.624212488945056,39,2.3466805380399,10.4508209803714
"exp2_21_DAY57_tube",5.891,"21","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.120194452,362.789337,17161.28776,7.86,"LT",20,0.311366903427459,-0.202141112917867,41,2.42498963647241,11.3021122889202
"exp2_22_DAY1_tube",7.836,"22","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.014105411,303.6499606,NA,NA,NA,NA,-1.16103276316491,-0.312254837784062,36,2.46979471966725,11.8200201849047
"exp2_22_DAY15_tube",2.996,"22","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.219720164,159.9369111,8487.498572,NA,NA,NA,1.69267475374697,-0.579839316275872,35,2.57098270212573,13.0786705653102
"exp2_22_DAY57_tube",3.961,"22","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.11387656,345.3342065,17456.8999,7.92,"LT",20,0.223681483833869,-0.23464144610333,41,2.36011858670495,10.592207472941
"exp2_23_DAY1_tube",8.511,"23","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.018218421,294.0847102,NA,NA,NA,NA,-1.1039486902427,-0.330064720385764,37,2.24886302935881,9.47695468934646
"exp2_23_DAY15_tube",4.521,"23","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.219959048,181.1567395,6487.882738,NA,NA,NA,1.69599020196517,-0.540329357118686,43,2.72651007812673,15.2794697074561
"exp2_23_DAY57_tube",5.152,"23","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.122156449,345.7470821,17011.51827,7.96,"LT",20,0.338597272383808,-0.233872698223494,47,2.34846485399969,10.4694851935144
"exp2_24_DAY1_tube",1.006,"24","1","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.023404312,350.289928,NA,NA,NA,NA,-1.03197420440128,-0.225414210596591,33,2.31415023198257,10.1163227376649
"exp2_24_DAY15_tube",3.646,"24","15","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.194296022,162.3374264,3115.39607,NA,NA,NA,1.33981551540022,-0.575369710788431,37,2.26220128559722,9.60420751815771
"exp2_24_DAY57_tube",3.712,"24","57","tube","temp37_ph4_food6",6,4,37,"3/14/22",0.127394175,289.2176971,11181.30937,7.98,"LT",20,0.411291171239037,-0.339126786542646,40,2.12519564840777,8.37453579244985
"exp2_25_DAY1_tube",2.9335,"25","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.050405758,361.9401923,NA,NA,NA,NA,-0.657223714499957,-0.203722165873768,41,2.5174894657004,12.3974333799719
"exp2_25_DAY15_tube",3.566,"25","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.215464119,240.8021536,5627.401045,NA,NA,NA,1.63360551172222,-0.429273422519117,42,2.69950779771399,14.8724096890118
"exp2_25_DAY57_tube",1.347,"25","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.213946602,273.2857518,3322.964659,7.77,"LT",20,1.61254403822989,-0.368791046603181,43,2.31336302026714,10.1083621836206
"exp2_26_DAY1_tube",1.3735,"26","1","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.047337019,198.9162103,NA,NA,NA,NA,-0.699814449960173,-0.50726236181908,36,2.41401986329689,11.1788082259972
"exp2_26_DAY15_tube",2.4885,"26","15","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.213660296,208.26679,5699.567671,NA,NA,NA,1.60857042460336,-0.489852182288928,43,2.64774851283729,14.1222068569435
"exp2_26_DAY57_tube",1.207,"26","57","tube","temp37_ph5.6_food3",3,5.6,37,"3/14/22",0.189573786,349.9257023,6482.039167,7.74,"LT",20,1.27427605301625,-0.226092375483683,41,2.42954865717567,11.3537564868691
