"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_85_DAY57_tube",7.511,"85","57","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.11399826,861.4555135,15549.95385,7.9,"LT",20,0.22537054650929,0.726343316606798,38,2.05289123799884,7.79039245541054
"exp2_86_DAY1_tube",1.7235,"86","1","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.011183921,65.23600157,NA,NA,NA,NA,-1.2015798438191,-0.756166334437748,40,2.07878999730987,7.99478934271183
"exp2_86_DAY15_tube",3.581,"86","15","tube","temp22_ph3_food6",6,3,22,"3/21/22",NA,839.7247137,29368.89956,NA,NA,NA,NA,0.685881961483351,37,2.47872517705526,11.9260511191715
"exp2_86_DAY57_tube",3.2045,"86","57","tube","temp22_ph3_food6",6,3,22,"3/21/22",0.055669348,815.8081494,18753.4236,8.1,"LT",20,-0.584170851659214,0.641350853085075,43,2.62014435627152,13.7377065660457
"exp2_87_DAY1_tube",0.5535,"87","1","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.005270394,12.23527943,NA,NA,NA,NA,-1.28365312020196,-0.854850278887213,40,2.48064389366848,11.9489557983512
"exp2_87_DAY15_tube",20.1485,"87","15","tube","temp37_ph3_food6",6,3,37,"3/21/22",NA,46.52037382,21452.21418,NA,NA,NA,NA,-0.791013632637558,28,1.78348252611867,5.95054329884175
"exp2_87_DAY57_tube",5.996,"87","57","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.14408019,129.4856603,13157.09653,7.85,"LT",20,0.64287477960397,-0.636537591714953,28,2.19184176667596,8.95168485635226
"exp2_88_DAY1_tube",0.4235,"88","1","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.004986413,11.75687773,NA,NA,NA,NA,-1.28759446537557,-0.855741032161529,47,2.51483491387943,12.3645673921512
"exp2_88_DAY15_tube",17.9085,"88","15","tube","temp37_ph3_food6",6,3,37,"3/21/22",NA,45.54360665,13981.14354,NA,NA,NA,NA,-0.792832310445188,28,1.36827244941529,3.92855804708668
"exp2_88_DAY57_tube",5.2685,"88","57","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.139076263,200.0375712,15581.56669,7.87,"LT",20,0.573425754737654,-0.505174459762366,24,1.66325376221203,5.27645126163269
"exp2_89_DAY1_tube",0.421,"89","1","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.00621276,9.698204537,NA,NA,NA,NA,-1.27057411250117,-0.859574149576062,46,2.70268066881795,14.919672868298
"exp2_89_DAY15_tube",1.686,"89","15","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.014120287,41.81543343,NA,NA,NA,NA,-1.16082630058184,-0.799773929805932,29,1.30106329596314,3.67320029093915
"exp2_89_DAY57_tube",2.3395,"89","57","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.362876032,94.38616419,10207.45069,7.82,"LT",20,3.67952137171142,-0.701890601720629,26,1.73223732575147,5.65328801671054
"exp2_9_DAY1_tube",2.866,"9","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009779016,243.4740109,NA,NA,NA,NA,-1.22107838611994,-0.424298595635181,39,2.59569988868568,13.4059667632146
"exp2_9_DAY15_tube",10.7635,"9","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.133454424,779.0840552,8752.600775,NA,NA,NA,0.495400788245253,0.57297294565927,47,2.97076815329493,19.5068981304622
"exp2_9_DAY57_tube",3.421,"9","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.066918978,616.1626504,7260.326018,7.87,"LT",20,-0.428038311434937,0.269623741879685,39,1.98401171457602,7.27185716260338
"exp2_90_DAY1_tube",0.381,"90","1","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.005986264,8.367219493,NA,NA,NA,NA,-1.27371762885066,-0.862052358340807,41,2.69504806068873,14.8062303338154
"exp2_90_DAY15_tube",1.9685,"90","15","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.005353637,66.76827364,NA,NA,NA,NA,-1.28249779855619,-0.753313342143833,28,1.18636451836299,3.27515277994168
"exp2_90_DAY57_tube",3.151,"90","57","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.338284132,136.654194,13300.68159,7.7,"LT",20,3.33821274058831,-0.623190241851185,22,1.36459479670539,3.91413670952858
"exp2_91_DAY1_tube",0.656,"91","1","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.003768841,4.286491293,NA,NA,NA,NA,-1.30449303086314,-0.869650412456719,41,2.7046472685317,14.9490427626372
"exp2_91_DAY15_tube",2.0495,"91","15","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.001442052,24.06336277,NA,NA,NA,NA,-1.33678631314318,-0.832827146519602,28,0.38281736223113,1.46641018372551
"exp2_91_DAY57_tube",3.971,"91","57","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.053958469,70.81607199,14015.50734,7.78,"LT",20,-0.607915977879932,-0.745776601296059,24,1.66037188501153,5.26126706704331
"exp2_92_DAY1_tube",0.641,"92","1","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.003884718,10.79320953,NA,NA,NA,NA,-1.30288478504852,-0.857535320527362,45,2.68112802865645,14.6015549819568
"exp2_92_DAY15_tube",1.391,"92","15","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.002223825,17.00001249,NA,NA,NA,NA,-1.32593616034982,-0.845978651603201,38,1.19740905754213,3.31152582516207
"exp2_92_DAY57_tube",5.621,"92","57","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.061723526,91.32923516,14176.77743,7.77,"LT",20,-0.500145493482107,-0.707582407462174,21,1.45845173971963,4.29929794050522
"exp2_93_DAY1_tube",0.772,"93","1","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.005419224,28.44135176,NA,NA,NA,NA,-1.28158752284795,-0.824675611882992,40,2.67133900392872,14.4593173190003
"exp2_93_DAY15_tube",31.706,"93","15","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.015624302,1482.05929,NA,NA,NA,NA,-1.13995222005782,1.88186773462285,25,2.2724628350021,9.70326896078621
"exp2_93_DAY57_tube",4.346,"93","57","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.094298733,899.4944096,24138.52796,8.2,"LT",20,-0.0480373070580491,0.797169300821423,38,2.4738433671341,11.8679722847575
"exp2_94_DAY1_tube",1.1195,"94","1","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.004495526,25.96643903,NA,NA,NA,NA,-1.29440743915987,-0.829283740612247,40,2.6133279779732,13.6443835848507
"exp2_94_DAY15_tube",16.4535,"94","15","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.012512665,6997.938711,NA,NA,NA,NA,-1.1831383327625,12.1520813542426,29,2.36864980945955,10.6829585126052
"exp2_94_DAY57_tube",6.5285,"94","57","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.162805835,795.4307542,31240.30454,7.4,"LT",20,0.902766217916878,0.603409450501355,34,1.95893647856522,7.09178079217316
"exp2_95_DAY1_tube",0.6385,"95","1","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.017431977,48.16151396,NA,NA,NA,NA,-1.1148636713989,-0.787957934981558,43,2.67915521406055,14.5727772170965
"exp2_95_DAY15_tube",7.3735,"95","15","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.055855786,1416.450335,NA,NA,NA,NA,-0.581583296465458,1.75970806944876,43,2.74644260178924,15.5870836756412
"exp2_95_DAY57_tube",5.8085,"95","57","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.091922247,1642.099871,20256.52992,7.86,"LT",20,-0.0810203292541064,2.17985302930141,48,2.8658499396572,17.5639751813431
"exp2_96_DAY1_tube",0.502,"96","1","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.011916989,48.20324214,NA,NA,NA,NA,-1.19140566306853,-0.787880239787401,41,2.64588645215444,14.0959349183631
"exp2_96_DAY15_tube",4.9835,"96","15","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.077409144,2276.470074,NA,NA,NA,NA,-0.282446299523936,3.36100965029774,39,2.45758222546125,11.6765461281243
"exp2_96_DAY57_tube",6.8185,"96","57","tube","temp22_ph3_food3",3,3,22,"4/11/22",0.090839938,780.2964497,19849.09562,7.89,"LT",20,-0.0960415924847726,0.575230346439071,82,2.83072792456479,16.9578003323074
"exp2_MIX_GROUP1",1.926,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2.42627515350396,11.3166506894387
"exp2_MIX_GROUP2",6.0085,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2.40753321573098,11.1065299122376
"exp2_MIX_GROUP3",2.7385,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2.56307154143088,12.9756112975163
"exp2_MIX_GROUP4",2.8285,"MIX","0","MIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2.83317757997817,16.9993920215452
