,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
29,exp2_MIX_GROUP1,exp2_11_DAY15_tube,-0.469333535,8.681,11,15,tube,temp22_ph5.6_food3,3,5.6,22,3/14/22,0.12774571,743.954946,9856.776731,NA,NA,NA
33,exp2_MIX_GROUP1,exp2_11_DAY57_tube,-0.448016358,0.6085,11,57,tube,temp22_ph5.6_food3,3,5.6,22,3/14/22,0.057026815,503.1909766,10650.40399,7.95,LT,20
37,exp2_MIX_GROUP1,exp2_12_DAY1_tube,-0.157314652,1.0085,12,1,tube,temp22_ph5.6_food3,3,5.6,22,3/14/22,0.009719263,239.2536846,NA,NA,NA,NA
41,exp2_MIX_GROUP1,exp2_12_DAY15_tube,-0.52211461,8.5585,12,15,tube,temp22_ph5.6_food3,3,5.6,22,3/14/22,0.189219969,826.1521565,6854.528522,NA,NA,NA
45,exp2_MIX_GROUP1,exp2_12_DAY57_tube,-0.292305623,3.122,12,57,tube,temp22_ph5.6_food3,3,5.6,22,3/14/22,0.057741794,531.9745892,11470.02476,8,LT,20
49,exp2_MIX_GROUP1,exp2_13_DAY1_tube,-0.648984177,5.7035,13,1,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.010483542,232.4396656,NA,NA,NA,NA
53,exp2_MIX_GROUP1,exp2_13_DAY15_tube,-0.919961409,11.281,13,15,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.020324456,812.6678723,9334.529529,NA,NA,NA
57,exp2_MIX_GROUP1,exp2_13_DAY57_tube,-1.263237417,1.247,13,57,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.044562876,623.7094313,16987.6837,8.07,LT,20
61,exp2_MIX_GROUP1,exp2_14_DAY1_tube,-0.057496632,2.966,14,1,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.018069857,235.432899,NA,NA,NA,NA
65,exp2_MIX_GROUP1,exp2_14_DAY15_tube,-1.097381942,5.2335,14,15,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.047610806,1037.359044,24766.33229,NA,NA,NA
69,exp2_MIX_GROUP1,exp2_14_DAY57_tube,-0.792244396,1.9395,14,57,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.043738095,534.7596712,10399.85429,8.08,LT,20
73,exp2_MIX_GROUP1,exp2_15_DAY1_tube,0.644594383,4.5085,15,1,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.01499173,236.9541904,NA,NA,NA,NA
77,exp2_MIX_GROUP1,exp2_15_DAY15_tube,-1.20937467,5.131,15,15,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.04870668,859.5421928,13595.51317,NA,NA,NA
81,exp2_MIX_GROUP1,exp2_15_DAY57_tube,-1.056802853,3.7835,15,57,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.047338534,533.3229173,12057.34375,8.11,LT,20
85,exp2_MIX_GROUP1,exp2_16_DAY1_tube,0.097787787,2.2185,16,1,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.012277489,221.9614505,NA,NA,NA,NA
89,exp2_MIX_GROUP1,exp2_16_DAY15_tube,-0.946815348,5.246,16,15,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.098839239,1027.50239,20216.13586,NA,NA,NA
93,exp2_MIX_GROUP1,exp2_16_DAY57_tube,-1.33543255,4.246,16,57,tube,temp22_ph5.6_food6,6,5.6,22,3/14/22,0.039809755,637.9386803,1745.275164,8.15,LT,20
