,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
512,exp2_MIX_GROUP4,exp2_91_DAY15_tube,-1.061063248,2.0495,91,15,tube,temp37_ph3_food6,6,3,37,4/11/22,0.001442052,24.06336277,NA,NA,NA,NA
516,exp2_MIX_GROUP4,exp2_91_DAY57_tube,1.684213832,3.971,91,57,tube,temp37_ph3_food6,6,3,37,4/11/22,0.053958469,70.81607199,14015.50734,7.78,LT,20
520,exp2_MIX_GROUP4,exp2_92_DAY1_tube,-0.224432557,0.641,92,1,tube,temp37_ph3_food6,6,3,37,4/11/22,0.003884718,10.79320953,NA,NA,NA,NA
524,exp2_MIX_GROUP4,exp2_92_DAY15_tube,-0.856304668,1.391,92,15,tube,temp37_ph3_food6,6,3,37,4/11/22,0.002223825,17.00001249,NA,NA,NA,NA
528,exp2_MIX_GROUP4,exp2_92_DAY57_tube,0.652806661,5.621,92,57,tube,temp37_ph3_food6,6,3,37,4/11/22,0.061723526,91.32923516,14176.77743,7.77,LT,20
532,exp2_MIX_GROUP4,exp2_93_DAY1_tube,-0.692743103,0.772,93,1,tube,temp22_ph3_food6,6,3,22,4/11/22,0.005419224,28.44135176,NA,NA,NA,NA
536,exp2_MIX_GROUP4,exp2_93_DAY15_tube,-0.573270076,31.706,93,15,tube,temp22_ph3_food6,6,3,22,4/11/22,0.015624302,1482.05929,NA,NA,NA,NA
540,exp2_MIX_GROUP4,exp2_93_DAY57_tube,-0.601377266,4.346,93,57,tube,temp22_ph3_food6,6,3,22,4/11/22,0.094298733,899.4944096,24138.52796,8.2,LT,20
544,exp2_MIX_GROUP4,exp2_94_DAY1_tube,-1.15570937,1.1195,94,1,tube,temp22_ph3_food6,6,3,22,4/11/22,0.004495526,25.96643903,NA,NA,NA,NA
548,exp2_MIX_GROUP4,exp2_94_DAY15_tube,-0.315262267,16.4535,94,15,tube,temp22_ph3_food6,6,3,22,4/11/22,0.012512665,6997.938711,NA,NA,NA,NA
552,exp2_MIX_GROUP4,exp2_94_DAY57_tube,-0.984354763,6.5285,94,57,tube,temp22_ph3_food6,6,3,22,4/11/22,0.162805835,795.4307542,31240.30454,7.4,LT,20
556,exp2_MIX_GROUP4,exp2_95_DAY1_tube,-1.098666637,0.6385,95,1,tube,temp22_ph3_food3,3,3,22,4/11/22,0.017431977,48.16151396,NA,NA,NA,NA
560,exp2_MIX_GROUP4,exp2_95_DAY15_tube,-0.788874857,7.3735,95,15,tube,temp22_ph3_food3,3,3,22,4/11/22,0.055855786,1416.450335,NA,NA,NA,NA
564,exp2_MIX_GROUP4,exp2_95_DAY57_tube,-0.541514731,5.8085,95,57,tube,temp22_ph3_food3,3,3,22,4/11/22,0.091922247,1642.099871,20256.52992,7.86,LT,20
568,exp2_MIX_GROUP4,exp2_96_DAY1_tube,-0.936370655,0.502,96,1,tube,temp22_ph3_food3,3,3,22,4/11/22,0.011916989,48.20324214,NA,NA,NA,NA
572,exp2_MIX_GROUP4,exp2_96_DAY15_tube,0.606618485,4.9835,96,15,tube,temp22_ph3_food3,3,3,22,4/11/22,0.077409144,2276.470074,NA,NA,NA,NA
576,exp2_MIX_GROUP4,exp2_96_DAY57_tube,0.550825098,6.8185,96,57,tube,temp22_ph3_food3,3,3,22,4/11/22,0.090839938,780.2964497,19849.09562,7.89,LT,20
